label mount move posid direction speed motor angle xpix ypix peaks fwhm
testarc 0 20230202-143916 4852 cw cruise phi 180 1810.745942134512 940.2766206153324 73537.5473 3.4143
testarc 0 20230202-143926 4852 cw cruise theta 30 1805.5437936699698 848.5356889587677 73580.9416 3.4216
testarc 0 20230202-143936 4852 cw cruise theta 30 1854.0638242794028 761.8989618813914 73364.6607 3.27
testarc 0 20230202-143946 4852 cw cruise theta 30 1943.0065512139554 716.9196450910691 71805.3145 3.2297
testarc 0 20230202-143955 4852 cw cruise theta 30 2042.0594772436664 729.3922173907954 71924.1191 3.1803
testarc 0 20230202-144004 4852 cw cruise theta 30 2117.1808805193846 795.174698693787 72273.3791 3.1971
testarc 0 20230202-144013 4852 ccw cruise theta 30 2046.775372991532 731.5906230671794 71761.5256 3.1779
testarc 0 20230202-144022 4852 ccw cruise theta 30 1948.1231541546176 716.1217031016919 71420.2387 3.2251
testarc 0 20230202-144031 4852 ccw cruise theta 30 1857.781391480451 758.4651087852815 72485.4987 3.2865
testarc 0 20230202-144040 4852 ccw cruise theta 30 1806.73431346776 843.4660870335824 73861.865 3.4029
testarc 0 20230202-144049 4852 ccw cruise theta 30 1810.7214845612887 940.1456584180653 74295.2793 3.4167
testarc 0 20230202-144058 4852 ccw cruise phi 180 1972.6304929195746 877.3835939368599 73635.8586 3.2846
