label,mtang1,mtang2,move,posid,direction,speed,motor,angle,xpix,ypix,xytgt,peaks,fwhm
smallarcphi15-20230315-145518,0.000000,0.000000,20230315-145520,4852,cw,cruise,phi,0.000000,1979.119916,882.120526,0,73818.8434,3.3263
smallarcphi15-20230315-145518,0.000000,0.000000,20230315-145530,4852,cw,cruise,phi,15.000000,1984.710102,908.088044,0,72893.1379,3.3442
smallarcphi15-20230315-145518,0.000000,0.000000,20230315-145540,4852,cw,cruise,phi,15.000000,1981.626135,936.439198,0,73184.8460,3.3288
smallarcphi15-20230315-145518,0.000000,0.000000,20230315-145550,4852,cw,cruise,phi,15.000000,1969.480227,962.274630,0,73634.4156,3.3500
smallarcphi15-20230315-145518,0.000000,0.000000,20230315-145600,4852,cw,cruise,phi,15.000000,1949.463189,982.825501,0,78702.9342,3.6800
smallarcphi15-20230315-145518,0.000000,0.000000,20230315-145611,4852,ccw,cruise,phi,15.000000,1968.187946,964.086730,0,78012.3901,3.4841
smallarcphi15-20230315-145518,0.000000,0.000000,20230315-145622,4852,ccw,cruise,phi,15.000000,1981.040432,938.496442,0,72334.9045,3.3609
smallarcphi15-20230315-145518,0.000000,0.000000,20230315-145633,4852,ccw,cruise,phi,15.000000,1984.799705,910.241402,0,73146.4151,3.3318
smallarcphi15-20230315-145518,0.000000,0.000000,20230315-145643,4852,ccw,cruise,phi,15.000000,1979.109661,882.107751,0,74082.6522,3.3288
getpic-20230315-153247,0.000000,0.000000,20230315-153250,4852,cw,cruise,theta,0.000000,1983.672066,927.336914,0,72960.0746,3.3341
getpic-20230315-153342,0.000000,0.000000,20230315-153344,4852,cw,cruise,theta,0.000000,1963.330605,970.182122,0,73711.9298,3.3669
getpic-20230315-153414,0.000000,0.000000,20230315-153417,4852,cw,cruise,theta,0.000000,1923.305393,995.895726,0,73539.0569,3.3913
getpic-20230315-155133,0.000000,0.000000,20230315-155135,4852,cw,cruise,theta,0.000000,1961.857777,971.879546,0,74435.4161,3.3612
getpic-20230315-155213,0.000000,0.000000,20230315-155215,4852,cw,cruise,theta,0.000000,1983.337869,929.532789,0,73208.1825,3.3063
getpic-20230315-174022,0.000000,0.000000,20230315-174024,4852,cw,cruise,theta,0.000000,1975.799612,951.908838,0,73600.4485,3.3336
getpic-20230315-174052,0.000000,0.000000,20230315-174055,4852,cw,cruise,theta,0.000000,1961.088918,972.891131,0,77497.2896,3.4754
getpic-20230315-174129,0.000000,0.000000,20230315-174131,4852,cw,cruise,theta,0.000000,1940.842783,988.647604,0,73729.9231,3.4045
curreposition-20230518-150117,0.000000,0.000000,20230518-150120,4852,cw,cruise,theta,0.000000,1979.790183,882.352178,0,78003.4404,3.5620
getpic-20230522-092545,0.000000,0.000000,20230522-092547,4852,cw,cruise,theta,0.000000,1979.788371,883.001861,0,79066.4724,3.5559
getpic-20230522-092648,0.000000,0.000000,20230522-092651,4852,cw,cruise,theta,0.000000,1979.783673,882.989854,0,79016.2461,3.5516
getpic-20230522-093240,0.000000,0.000000,20230522-093243,4852,cw,cruise,theta,0.000000,1979.796617,883.048968,0,79060.7532,3.5562
arcphi15-20230523-094814,0.000000,0.000000,20230523-094817,4852,cw,cruise,phi,0.000000,1979.495246,883.276458,0,77561.6174,3.6000
arcphi15-20230523-094814,0.000000,0.000000,20230523-094826,4852,cw,cruise,phi,15.000000,1985.156018,905.440752,0,78390.6799,3.5792
arcphi15-20230523-094814,0.000000,0.000000,20230523-094835,4852,cw,cruise,phi,15.000000,1984.325497,930.978689,0,78809.1009,3.5759
arcphi15-20230523-094814,0.000000,0.000000,20230523-094845,4852,cw,cruise,phi,15.000000,1976.015871,955.239787,0,79048.7124,3.5789
arcphi15-20230523-094814,0.000000,0.000000,20230523-094853,4852,cw,cruise,phi,15.000000,1961.016218,975.895554,0,79464.8807,3.5858
arcphi15-20230523-094814,0.000000,0.000000,20230523-094903,4852,cw,cruise,phi,15.000000,1940.516398,991.350158,0,78130.7396,3.6611
arcphi15-20230523-094814,0.000000,0.000000,20230523-094913,4852,cw,cruise,phi,15.000000,1916.392837,1000.130975,0,79160.7892,3.6850
arcphi15-20230523-094814,0.000000,0.000000,20230523-094922,4852,cw,cruise,phi,15.000000,1890.843149,1001.529663,0,78955.3216,3.7086
arcphi15-20230523-094814,0.000000,0.000000,20230523-094932,4852,cw,cruise,phi,15.000000,1865.900933,995.379544,0,79213.9702,3.7305
arcphi15-20230523-094814,0.000000,0.000000,20230523-094941,4852,cw,cruise,phi,15.000000,1843.805244,982.229284,0,79807.9568,3.7582
arcphi15-20230523-094814,0.000000,0.000000,20230523-094950,4852,cw,cruise,phi,15.000000,1826.574196,963.265329,0,80271.8557,3.8614
arcphi15-20230523-094814,0.000000,0.000000,20230523-095000,4852,ccw,cruise,phi,15.000000,1842.202186,980.894473,0,79882.2047,3.8058
arcphi15-20230523-094814,0.000000,0.000000,20230523-095010,4852,ccw,cruise,phi,15.000000,1863.946297,994.555296,0,79619.9212,3.7853
arcphi15-20230523-094814,0.000000,0.000000,20230523-095020,4852,ccw,cruise,phi,15.000000,1888.769085,1001.282017,0,79624.1123,3.7417
arcphi15-20230523-094814,0.000000,0.000000,20230523-095030,4852,ccw,cruise,phi,15.000000,1914.419014,1000.508438,0,78870.8352,3.7166
arcphi15-20230523-094814,0.000000,0.000000,20230523-095040,4852,ccw,cruise,phi,15.000000,1938.790662,992.299876,0,79184.0582,3.6661
arcphi15-20230523-094814,0.000000,0.000000,20230523-095050,4852,ccw,cruise,phi,15.000000,1959.537882,977.403285,0,78044.1994,3.6570
arcphi15-20230523-094814,0.000000,0.000000,20230523-095101,4852,ccw,cruise,phi,15.000000,1975.077661,957.053775,0,79380.5784,3.5648
arcphi15-20230523-094814,0.000000,0.000000,20230523-095111,4852,ccw,cruise,phi,15.000000,1983.954953,933.038629,0,79005.4644,3.5571
arcphi15-20230523-094814,0.000000,0.000000,20230523-095121,4852,ccw,cruise,phi,15.000000,1985.403671,907.483552,0,76960.1980,3.6108
arcphi15-20230523-094814,0.000000,0.000000,20230523-095131,4852,ccw,cruise,phi,15.000000,1979.530961,883.203941,0,78226.3888,3.5873
arcth30-20230523-095450,0.000000,0.000000,20230523-095453,4852,cw,cruise,phi,180.000000,1818.172295,947.004562,0,80261.9676,3.9145
arcth30-20230523-095450,0.000000,0.000000,20230523-095503,4852,cw,cruise,theta,30.000000,1812.634917,854.841656,0,79750.1865,3.8481
arcth30-20230523-095450,0.000000,0.000000,20230523-095513,4852,cw,cruise,theta,30.000000,1860.921830,768.337451,0,78842.0257,3.5945
arcth30-20230523-095450,0.000000,0.000000,20230523-095523,4852,cw,cruise,theta,30.000000,1949.619301,723.329703,0,79851.5335,3.6708
arcth30-20230523-095450,0.000000,0.000000,20230523-095533,4852,cw,cruise,theta,30.000000,2048.404426,735.691782,0,77460.0586,3.5245
arcth30-20230523-095450,0.000000,0.000000,20230523-095543,4852,cw,cruise,theta,30.000000,2123.433399,801.139855,0,78364.5181,3.4854
arcth30-20230523-095450,0.000000,0.000000,20230523-095553,4852,cw,cruise,theta,30.000000,2149.005267,897.275545,0,79410.1294,3.4945
arcth30-20230523-095450,0.000000,0.000000,20230523-095603,4852,cw,cruise,theta,30.000000,2116.423730,991.377270,0,77022.8686,3.5871
arcth30-20230523-095450,0.000000,0.000000,20230523-095613,4852,cw,cruise,theta,30.000000,2036.615442,1051.207998,0,78736.1012,3.6189
arcth30-20230523-095450,0.000000,0.000000,20230523-095623,4852,cw,cruise,theta,30.000000,1937.118113,1056.119180,0,80000.5366,3.6465
arcth30-20230523-095450,0.000000,0.000000,20230523-095633,4852,cw,cruise,theta,30.000000,1852.222680,1004.741591,0,80034.4717,3.7711
