label,mvlabel,x0,y0,x1,y1,x2,y2,x3,y3,pix2mm,sigpix2mm
curreposition-20230622-210527,20230622-210530,1104.575065,867.641159,1137.401211,858.742249,1126.999218,885.096553,1116.592357,911.369864,0.035296,0.000066
xysafe-20230623-181340,20230623-181527,1110.085817,852.764265,1142.776671,843.829144,1132.414656,870.156313,1122.020162,896.428603,0.035366,0.000030
xysafe-20230623-181340,20230623-181535,1110.104749,852.752937,1142.792579,843.822519,1132.422854,870.147150,1122.039702,896.422040,0.035368,0.000031
xysafe-20230623-181340,20230623-181752,1107.031809,895.104600,1139.766034,886.160074,1129.398919,912.456870,1119.019039,938.705591,0.035380,0.000035
xysafe-20230623-181340,20230623-181800,1107.039863,895.162992,1139.777127,886.207801,1129.411180,912.503382,1119.025985,938.759885,0.035378,0.000031
curreposition-20230624-175445,20230624-175655,1105.543590,867.323146,1138.407516,858.335707,1127.957590,884.624072,1117.520639,910.874424,0.035347,0.000072
curreposition-20230624-180942,20230624-180945,1105.563674,867.332608,1138.431340,858.350392,1127.981321,884.643884,1117.550280,910.903810,0.035339,0.000069
xysafe-20230624-181012,20230624-181015,1105.572565,867.322223,1138.434928,858.348269,1127.987980,884.638667,1117.543155,910.885659,0.035345,0.000070
xysafe-20230624-181012,20230624-181025,1105.576688,867.319958,1138.434214,858.338878,1127.993454,884.638661,1117.554867,910.896072,0.035338,0.000065
xysafe-20230624-181012,20230624-181034,1105.571441,867.334782,1138.440825,858.347016,1127.989433,884.640060,1117.549656,910.899207,0.035339,0.000070
xysafe-20230624-181012,20230624-181043,1105.582081,867.326824,1138.447818,858.352955,1127.994210,884.647759,1117.563318,910.901687,0.035340,0.000068
xysafe-20230624-181012,20230624-181053,1105.573736,867.325793,1138.435675,858.350700,1127.986127,884.638220,1117.553445,910.896551,0.035343,0.000067
xysafe-20230624-181012,20230624-181102,1105.585036,867.316609,1138.448701,858.341055,1128.002614,884.630066,1117.563072,910.892037,0.035339,0.000066
xysafe-20230624-181012,20230624-181257,1109.112667,852.304499,1141.785937,843.353990,1131.424230,869.660619,1121.041436,895.899239,0.035402,0.000026
xysafe-20230624-181012,20230624-181306,1109.180901,852.315454,1141.849524,843.349818,1131.487649,869.672014,1121.098347,895.897332,0.035403,0.000035
xysafe-20230624-181012,20230624-181316,1109.195820,852.317411,1141.858796,843.347838,1131.491051,869.664850,1121.112942,895.891553,0.035409,0.000034
xysafe-20230624-181012,20230624-181326,1109.183797,852.290364,1141.860150,843.323265,1131.502353,869.634475,1121.114886,895.866625,0.035403,0.000028
xysafe-20230624-181012,20230624-181336,1109.185956,852.305636,1141.852861,843.338266,1131.496688,869.657118,1121.107793,895.882932,0.035405,0.000033
xysafe-20230624-181012,20230624-181347,1109.188794,852.314927,1141.863750,843.344729,1131.501565,869.660875,1121.117971,895.891259,0.035403,0.000031
xysafe-20230624-181012,20230624-181421,1106.442043,866.446297,1139.231311,857.503963,1128.756446,883.820977,1118.377941,910.078178,0.035354,0.000043
xysafe-20230624-181012,20230624-181431,1106.413239,866.490291,1139.188363,857.564026,1128.708989,883.889101,1118.331213,910.159601,0.035346,0.000036
xysafe-20230624-181012,20230624-181441,1106.405440,866.509535,1139.162118,857.591248,1128.687140,883.927969,1118.309632,910.195747,0.035346,0.000040
