label,mount,move,posid,direction,speed,motor,angle,xpix,ypix,peaks,fwhm
curreposition-20230203-110958,0,20230203-111001,4852,cw,cruise,theta,0,1972.1612173606197,877.6276787398024,75521.3256,3.3406
arcphi15-20230203-120929,0,20230203-120931,4852,cw,cruise,phi,0,1972.5121935356485,877.4191815781423,73646.1300,3.3528
arcphi15-20230203-120929,0,20230203-120940,4852,cw,cruise,phi,15,1978.753213086861,902.5126057160275,74605.0360,3.3693
arcphi15-20230203-120929,0,20230203-120949,4852,cw,cruise,phi,15,1976.6272323829453,931.0620755893474,78369.6116,3.5316
arcphi15-20230203-120929,0,20230203-120958,4852,cw,cruise,phi,15,1965.3412541186078,957.1730436319108,76179.1692,3.4034
arcphi15-20230203-120929,0,20230203-121007,4852,cw,cruise,phi,15,1946.0638197336807,978.354232525073,73507.2656,3.3231
arcphi15-20230203-120929,0,20230203-121015,4852,cw,cruise,phi,15,1920.9324042690532,992.0983151742446,73981.5531,3.3160
arcphi15-20230203-120929,0,20230203-121024,4852,cw,cruise,phi,15,1892.637276867495,996.9375918487855,72488.4007,3.3350
arcphi15-20230203-120929,0,20230203-121033,4852,cw,cruise,phi,15,1864.3532052708952,992.343825871191,73559.8716,3.3298
arcphi15-20230203-120929,0,20230203-121042,4852,cw,cruise,phi,15,1839.1148566187676,978.828968200167,73339.5252,3.3650
arcphi15-20230203-120929,0,20230203-121051,4852,cw,cruise,phi,15,1819.601568220084,957.856846404066,73346.5827,3.3734
arcphi15-20230203-120929,0,20230203-121100,4852,cw,cruise,phi,15,1808.004122309159,931.7335322978453,74720.7953,3.4521
arcphi15-20230203-120929,0,20230203-121109,4852,cw,cruise,phi,15,1806.40269769772,927.2852876712218,74536.2129,3.5053
arcphi15-20230203-120929,0,20230203-121118,4852,cw,cruise,phi,15,1806.4277767634344,927.292393513179,74316.1114,3.5104
arcphi15-20230203-120929,0,20230203-121127,4852,ccw,cruise,phi,15,1815.8247114467072,951.5510593716697,74529.9706,3.4526
arcphi15-20230203-120929,0,20230203-121135,4852,ccw,cruise,phi,15,1833.5480827081785,974.1446631689608,72762.1099,3.3940
arcphi15-20230203-120929,0,20230203-121144,4852,ccw,cruise,phi,15,1857.5465732679777,989.6864079421599,73405.2481,3.3444
arcphi15-20230203-120929,0,20230203-121153,4852,ccw,cruise,phi,15,1885.5095014369138,996.6603440740843,73243.0425,3.3292
arcphi15-20230203-120929,0,20230203-121202,4852,ccw,cruise,phi,15,1913.9227864364336,994.2308255040377,72223.4561,3.3210
arcphi15-20230203-120929,0,20230203-121211,4852,ccw,cruise,phi,15,1940.218166847139,982.619742929844,72620.9475,3.3135
