 label mount move posid direction speed motor angle xpix ypix peaks fwhm
66 getpic-20230203-165519 0 20230203-165521 4852 cw cruise theta 0 1812.7510714366904 945.4700137789584 73536.8356 3.4283
67 getpic-20230203-165558 0 20230203-165601 4852 cw cruise theta 0 1812.761654224677 945.4421644992099 73732.3153 3.4322
68 getpic-20230203-165757 0 20230203-165759 4852 cw cruise theta 0 1806.398469275728 926.846072262876 75000.4238 3.4683
69 getpic-20230203-165850 0 20230203-165852 4852 cw cruise theta 0 1806.4077931104794 926.8247028443914 74717.3438 3.4439
70 getpic-20230203-170300 0 20230203-170302 4852 cw cruise theta 0 1806.2638188749172 926.7460387024272 74150.6691 3.4697
71 getpic-20230203-170457 0 20230203-170459 4852 cw cruise theta 0 2139.593542347804 849.0360214379158 77920.3925 3.399
72 getpic-20230203-170537 0 20230203-170539 4852 cw cruise theta 0 2139.822406959346 920.1989555129255 78700.1726 3.5071
73 getpic-20230203-170614 0 20230203-170616 4852 cw cruise theta 0 2014.0304195570131 1051.2550927458278 72173.8026 3.2758
74 getpic-20230203-170703 0 20230203-170706 4852 cw cruise theta 0 1887.0120496014954 1033.6434085493524 72371.5489 3.3578
75 getpic-20230203-170740 0 20230203-170743 4852 cw cruise theta 0 1834.1976892032453 986.2870281275783 73394.9542 3.4207
76 getpic-20230203-170818 0 20230203-170820 4852 cw cruise theta 0 1805.0376109767678 921.3212788602866 74541.761 3.4906
77 getpic-20230203-170915 0 20230203-170917 4852 cw cruise theta 0 1801.2993391597681 891.6419351047298 74076.6532 3.4861
78 getpic-20230203-171011 0 20230203-171013 4852 cw cruise theta 0 1802.766926046644 861.8313252766112 74279.2271 3.4618
79 getpic-20230203-171114 0 20230203-171116 4852 cw cruise theta 0 1802.7748086618747 861.8294936515832 75251.716 3.4883
80 getpic-20230203-171237 0 20230203-171239 4852 cw cruise theta 0 1807.1372502603251 840.2792772026783 73609.4434 3.4122
